mass,radius,positionX,positionY,positionZ,velocityX,velocityY,velocityZ
1.989e+30,696340000,0,0,0,0,0,0
3.3011e+23,2439700,46000000000,0,0,0,58970,0
4.869e+24,6051800,107480000000,0,0,0,35260,0
5.97219e+24,6371000,147095000000,0,0,0,30290,0
6.4171e+23,3389500,206650000000,0,0,0,26500,0
1.89813e+27,69911000,740595000000,0,0,0,13720,0
5.6846e+26,58232000,1357554000000,0,0,0,10140,0
8.68103e+25,25362000,2732696000000,0,0,0,7130,0
1.0241e+26,24622000,4471050000000,0,0,0,5470,0
1.309e+22,1188000,-4434987000000,0,0,0,-6100,0
